Rank,Top%
坚韧黑铁IV,98.828
坚韧黑铁III,98.807
坚韧黑铁II,98.457
坚韧黑铁I,97.467
英勇黄铜IV,96.367
英勇黄铜III,94.267
英勇黄铜II,91.267
英勇黄铜I,87.167
不屈白银IV,82.967
不屈白银III,75.967
不屈白银II,68.867
不屈白银I,61.767
荣耀黄金IV,56.667
荣耀黄金III,46.767
荣耀黄金II,39.367
荣耀黄金I,33.567
华贵铂金IV,30.367
华贵铂金III,20.967
华贵铂金II,16.067
华贵铂金I,13.067
流光翡翠IV,11.867
流光翡翠III,7.367
流光翡翠II,5.467
流光翡翠I,4.467
璀璨钻石IV,4.087
璀璨钻石III,2.387
璀璨钻石II,1.797
璀璨钻石I,1.487
超凡大师,1.377
傲世宗师,0.077
最强王者,0.026
