Rank,Top%
白银I,100
白银II,96.1
白银III,91.87
白银IV,87.5
白银精英,82.29
大师级白银精英,75.85
黄金新星I,68.07
黄金新星II,59.31
黄金新星III,50.52
大师级黄金新星,41.47
大师级守卫I,33.39
大师级守卫II,25.84
大师级守卫精英,19.23
杰出的大师级守卫,13.99
传奇之鹰,9.84
大师级传奇之鹰,6.59
无上之首席大师,3.39
全球精英,0.75
