Rank,Top%
坚韧黑铁IV,98.9
坚韧黑铁III,97
坚韧黑铁II,94.6
坚韧黑铁I,90.5
英勇黄铜IV,87
英勇黄铜III,79.6
英勇黄铜II,74
英勇黄铜I,68.8
不屈白银IV,65.5
不屈白银III,59
不屈白银II,54.6
不屈白银I,50.7
荣耀黄金IV,48.1
荣耀黄金III,41.8
荣耀黄金II,38
荣耀黄金I,34.9
华贵铂金IV,32.7
华贵铂金III,26.6
华贵铂金II,22.7
华贵铂金I,19.1
流光翡翠IV,16.8
流光翡翠III,11.4
流光翡翠II,8.7
流光翡翠I,6.8
璀璨钻石IV,4.8
璀璨钻石III,2.84
璀璨钻石II,1.97
璀璨钻石I,1.3
超凡大师,0.78
傲世宗师,0.088
最强王者,0.026
