Rank,Top%
紫铜5,100.5
紫铜4,100.2
紫铜3,99.7
紫铜2,98.7
紫铜1,97.4
青铜5,95.8
青铜4,94
青铜3,92
青铜2,89.7
青铜1,87.3
白银5,84.6
白银4,81.7
白银3,78.8
白银2,75.6
白银1,72.3
黄金5,68.8
黄金4,65.1
黄金3,61.4
黄金2,57.7
黄金1,53.9
白金5,50.2
白金4,46.3
白金3,42.6
白金2,39
白金1,35.6
翡翠5,32.1
翡翠4,28.2
翡翠3,24.5
翡翠2,21
翡翠1,17.7
钻石5,14.8
钻石4,12.6
钻石3,10.4
钻石2,8
钻石1,5.3
冠军,2.8
