Rank,Top%
黑铁一,100
黑铁二,99.29
黑铁三,97.48
青铜一,93.77
青铜二,89.06
青铜三,83.19
白银一,76.81
白银二,69.54
白银三,62.2
黄金一,54.56
黄金二,46.84
黄金三,39.52
铂金一,32.65
铂金二,26.52
铂金三,21.37
钻石一,16.92
钻石二,12.99
钻石三,9.65
超凡一,6.76
超凡二,4.31
超凡三,2.43
神话一,1.18
神话二,0.47
神话三,0.22
无畏战魂,0.05
