Rank,Top%
先锋1,100
先锋2,99.94
先锋3,98.71
先锋4,97.27
先锋5,95.41
卫士1,93.26
卫士2,90.8
卫士3,88.07
卫士4,85.05
卫士5,81.74
中军1,78.17
中军2,74.22
中军3,70.08
中军4,65.77
中军5,61.31
统帅1,56.8
统帅2,52.12
统帅3,47.54
统帅4,43.08
统帅5,38.82
传奇1,34.75
传奇2,30.69
传奇3,27.03
传奇4,23.72
传奇5,20.72
万古流芳1,18.02
万古流芳2,15.37
万古流芳3,13.12
万古流芳4,11.22
万古流芳5,9.62
超凡入圣1,8.21
超凡入圣2,6.58
超凡入圣3,5.26
超凡入圣4,4.22
超凡入圣5,3.42
冠绝一世,2.71
