Rank,Top%
菜鸟IV,99.79
菜鸟III,75.09
菜鸟II,73.29
菜鸟I,72.09
青铜IV,71.19
青铜III,60.29
青铜II,55.79
青铜I,52.19
白银IV,49.29
白银III,46.19
白银II,41.89
白银I,38.19
黄金IV,35.09
黄金III,29.79
黄金II,24.19
黄金I,19.69
白金IV,15.99
白金III,8.59
白金II,4.49
白金I,2.59
钻石IV,1.59
钻石III,0.59
钻石II,0.39
钻石I,0.29
大师,0.19
Apex猎杀者,0.09
