Rank,Top%
Rookie IV,99.79
Rookie III,75.09
Rookie II,73.29
Rookie I,72.09
Bronze IV,71.19
Bronze III,60.29
Bronze II,55.79
Bronze I,52.19
Silver IV,49.29
Silver III,46.19
Silver II,41.89
Silver I,38.19
Gold IV,35.09
Gold III,29.79
Gold II,24.19
Gold I,19.69
Platinum IV,15.99
Platinum III,8.59
Platinum II,4.49
Platinum I,2.59
Diamond IV,1.59
Diamond III,0.59
Diamond II,0.39
Diamond I,0.29
Master,0.19
Apex Predator,0.09
