Rank,Top%
1k,96.8
2k,96.2
3k,94.3
4k,93
5k,86.7
6k,81
7k,75.3
8k,68.8
9k,61.7
10k,53
11k,45.3
12k,37.7
13k,30.2
14k,23.3
15k,16.4
16k,11.6
17k,7.8
18k,4.9
19k,2.9
20k,1.4
21k,0.7
22k,0.3
23k,0.1
