Rank,Top%
Silver I,100
Silver II,96.1
Silver III,91.87
Silver IV,87.5
Silver Elite,82.29
Silver Elite Master,75.85
Gold Nova I,68.07
Gold Nova II,59.31
Gold Nova III,50.52
Gold Nova Master,41.47
Master Guardian I,33.39
Master Guardian II,25.84
Master Guardian Elite,19.23
Distinguished Master Guardian,13.99
Legendary Eagle,9.84
Legendary Eagle Master,6.59
Supreme Master First Class,3.39
Global Elite,0.75
