Rank,Top%
Iron 1,100
Iron 2,99.29
Iron 3,97.48
Bronze 1,93.77
Bronze 2,89.06
Bronze 3,83.19
Silver 1,76.81
Silver 2,69.54
Silver 3,62.2
Gold 1,54.56
Gold 2,46.84
Gold 3,39.52
Platinum 1,32.65
Platinum 2,26.52
Platinum 3,21.37
Diamond 1,16.92
Diamond 2,12.99
Diamond 3,9.65
Ascendant 1,6.76
Ascendant 2,4.31
Ascendant 3,2.43
Immortal 1,1.18
Immortal 2,0.47
Immortal 3,0.22
Radiant,0.05
